avg_rating,board_game_rank,game_sub_url,geek_rating,num_voters,title
"
			8.83		","<a name=""1""></a>",/boardgame/174430/gloomhaven,"
			8.573		","
			35473		",Gloomhaven
"
			8.62		","<a name=""2""></a>",/boardgame/161936/pandemic-legacy-season-1,"
			8.472		","
			37381		",Pandemic Legacy: Season 1
"
			7.45		","<a name=""201""></a>",/boardgame/38453/space-alert,"
			7.247		","
			14338		",Space Alert
"
			7.30		","<a name=""701""></a>",/boardgame/95064/ascension-return-fallen,"
			6.695		","
			3080		",Ascension: Return of the Fallen
"
			7.29		","<a name=""401""></a>",/boardgame/221965/fox-forest,"
			6.969		","
			6974		",The Fox in the Forest
"
			7.02		","<a name=""601""></a>",/boardgame/220/high-society,"
			6.782		","
			7917		",High Society
"
			7.66		","<a name=""301""></a>",/boardgame/192458/51st-state-master-set,"
			7.101		","
			4501		",51st State: Master Set
"
			8.64		","<a name=""3""></a>",/boardgame/224517/brass-birmingham,"
			8.279		","
			13199		",Brass: Birmingham
"
			7.59		","<a name=""202""></a>",/boardgame/203420/exit-game-abandoned-cabin,"
			7.247		","
			7623		",Exit: The Game – The Abandoned Cabin
"
			7.88		","<a name=""101""></a>",/boardgame/233371/clank-space-deck-building-adventure,"
			7.463		","
			7533		",Clank! In! Space!: A Deck-Building Adventure
"
			6.85		","<a name=""702""></a>",/boardgame/147151/concept,"
			6.695		","
			14051		",Concept
"
			7.24		","<a name=""402""></a>",/boardgame/163968/elysium,"
			6.969		","
			8069		",Elysium
"
			7.54		","<a name=""602""></a>",/boardgame/82421/summoner-wars-phoenix-elves-vs-tundra-orcs,"
			6.781		","
			2520		",Summoner Wars: Phoenix Elves vs Tundra Orcs
"
			8.17		","<a name=""302""></a>",/boardgame/281259/isle-cats,"
			7.098		","
			2539		",The Isle of Cats
"
			7.07		","<a name=""501""></a>",/boardgame/10547/betrayal-house-hill,"
			6.869		","
			34508		",Betrayal at House on the Hill
"
			7.00		","<a name=""801""></a>",/boardgame/18100/china,"
			6.623		","
			4284		",China
"
			8.43		","<a name=""4""></a>",/boardgame/167791/terraforming-mars,"
			8.277		","
			54788		",Terraforming Mars
"
			7.69		","<a name=""203""></a>",/boardgame/193037/dead-winter-long-night,"
			7.245		","
			7094		",Dead of Winter: The Long Night
"
			7.70		","<a name=""102""></a>",/boardgame/104162/descent-journeys-dark-second-edition,"
			7.462		","
			21611		",Descent: Journeys in the Dark (Second Edition)
"
			7.11		","<a name=""703""></a>",/boardgame/171669/discoveries-journals-lewis-and-clark,"
			6.694		","
			4198		",Discoveries: The Journals of Lewis and Clark
"
			7.13		","<a name=""403""></a>",/boardgame/9674/ingenious,"
			6.969		","
			15151		",Ingenious
"
			7.28		","<a name=""603""></a>",/boardgame/35570/tinners-trail,"
			6.781		","
			3735		",Tinners' Trail
"
			7.43		","<a name=""303""></a>",/boardgame/55670/macao,"
			7.090		","
			6746		",Macao
"
			7.46		","<a name=""502""></a>",/boardgame/170561/valeria-card-kingdoms,"
			6.869		","
			3632		",Valeria: Card Kingdoms
"
			6.78		","<a name=""1301""></a>",/boardgame/176083/hit-z-road,"
			6.331		","
			3002		",Hit Z Road
"
			7.39		","<a name=""802""></a>",/boardgame/270673/silver-gold,"
			6.622		","
			2147		",Silver & Gold
"
			7.51		","<a name=""1501""></a>",/boardgame/264982/coloma,"
			6.252		","
			878		",Coloma
"
			8.47		","<a name=""5""></a>",/boardgame/182028/through-ages-new-story-civilization,"
			8.219		","
			20264		",Through the Ages: A New Story of Civilization
"
			6.83		","<a name=""1401""></a>",/boardgame/85005/boss,"
			6.289		","
			2194		",The Boss
"
			6.94		","<a name=""901""></a>",/boardgame/19100/hacienda,"
			6.551		","
			3971		",Hacienda
"
			6.99		","<a name=""1001""></a>",/boardgame/159109/xenoshyft-onslaught,"
			6.487		","
			3134		",XenoShyft: Onslaught
"
			8.16		","<a name=""1601""></a>",/boardgame/177354/frostgrave,"
			6.216		","
			661		",Frostgrave
"
			6.84		","<a name=""1101""></a>",/boardgame/101785/d-day-dice,"
			6.428		","
			3339		",D-Day Dice
"
			7.36		","<a name=""1201""></a>",/boardgame/253214/escape-tales-awakening,"
			6.377		","
			1328		",Escape Tales: The Awakening
"
			7.53		","<a name=""204""></a>",/boardgame/93260/summoner-wars-master-set,"
			7.242		","
			10130		",Summoner Wars: Master Set
"
