,url,category,mechanic,family
0,['https://boardgamegeek.com/boardgame/15031/jochen-der-rochen/credits'],"['Action / Dexterity', 'Animals', ""Children's Game"", 'Nautical']",[],[]
1,['https://boardgamegeek.com/boardgame/1542/calamity/credits'],['Economic'],['Trading'],[]
2,['https://boardgamegeek.com/boardgame/7156/uno-hello-kitty/credits'],"['Card Game', ""Children's Game"", 'Movies / TV / Radio theme']",['Hand Management'],"['Animals: Cats', 'Characters: Hello Kitty', 'Game: UNO']"
3,['https://boardgamegeek.com/boardgame/19349/zahlemann-und-sohne/credits'],['Card Game'],[],[]
4,['https://boardgamegeek.com/boardgame/209378/totem/credits'],[],['Action Queue'],[]
5,['https://boardgamegeek.com/boardgame/137201/epic-death/credits'],"['Card Game', 'Fantasy', 'Humor']","['Dice Rolling', 'Take That']",['Crowdfunding: Kickstarter']
6,['https://boardgamegeek.com/boardgame/139769/robotech-rpg-tactics/credits'],"['Aviation / Flight', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration']","['Dice Rolling', 'Variable Player Powers']","[""Cartoons: 80's Cartoons"", 'Crowdfunding: Kickstarter', 'TV Series: Robotech']"
7,['https://boardgamegeek.com/boardgame/180920/flock/credits'],"['Abstract Strategy', 'Animals']","['Area Majority / Influence', 'Worker Placement']",['Animals: Birds']
8,['https://boardgamegeek.com/boardgame/230768/out-woods/credits'],"['Card Game', 'Fantasy', 'Horror', 'Novel-based', 'Party Game']","['Memory', 'Player Elimination', 'Storytelling']","['Admin: Unreleased Games', 'Card Games: Shedding / Stops', 'Crowdfunding: Kickstarter']"
9,['https://boardgamegeek.com/boardgame/38504/hurrycup/credits'],"['Action / Dexterity', 'Racing', 'Real-time', 'Sports']","['Dice Rolling', 'Modular Board', 'Roll / Spin and Move']",['Sports: Auto Racing']
10,['https://boardgamegeek.com/boardgame/39/darkover/credits'],"['Bluffing', 'Fantasy', 'Novel-based']",[],['Admin: Better Description Needed!']
11,['https://boardgamegeek.com/boardgame/11826/cyberpunk-collectible-card-game/credits'],"['Card Game', 'Collectible Components']",[],"['CCGs (Collectible Card Games)', 'Theme: Cyberpunk']"
12,['https://boardgamegeek.com/boardgame/194575/loza-szydercow/credits'],"['Card Game', 'Humor', 'Mature / Adult', 'Party Game']","['Card Drafting', 'Hand Management', 'Simultaneous Action Selection']","['Game: Cards Against Humanity', 'Judging Games']"
13,['https://boardgamegeek.com/boardgame/4735/where-theres-will/credits'],"['Bluffing', 'Card Game']",[],[]
14,['https://boardgamegeek.com/boardgame/147721/karnickel/credits'],"['Animals', ""Children's Game"", 'Dice', 'Racing', 'Trains']","['Modular Board', 'Push Your Luck', 'Roll / Spin and Move']",['Animals: Rabbits']
15,['https://boardgamegeek.com/boardgame/3753/estanciero/credits'],['Economic'],"['Auction/Bidding', 'Roll / Spin and Move', 'Set Collection', 'Trading']",['Country: Argentina']
16,['https://boardgamegeek.com/boardgame/244216/shark-bite/credits'],"[""Children's Game""]",['Roll / Spin and Move'],[]
17,['https://boardgamegeek.com/boardgame/197068/trick-taking-trick-taking-game/credits'],['Card Game'],['Trick-taking'],"['Crowdfunding: Kickstarter', 'Rabbit Line (Dice Hate Me Games)', 'Self-Referential Games']"
18,['https://boardgamegeek.com/boardgame/43233/nmbrs/credits'],"['Card Game', 'Math']",['Card Drafting'],[]
19,['https://boardgamegeek.com/boardgame/188576/gg/credits'],"['Abstract Strategy', 'Card Game', 'Deduction', 'Memory']","['Memory', 'Rock-Paper-Scissors']",['Crowdfunding: Kickstarter']
20,['https://boardgamegeek.com/boardgame/4374/crosstrack/credits'],['Abstract Strategy'],"['Network and Route Building', 'Tile Placement']",['Mechanic: Connection']
21,['https://boardgamegeek.com/boardgame/10257/battle-buena-vista/credits'],"['Post-Napoleonic', 'Wargame']",['Hexagon Grid'],"['Country: Mexico', 'History: Mexican–American War', 'Magazine: Command']"
22,['https://boardgamegeek.com/boardgame/29268/party-co-junior/credits'],"[""Children's Game"", 'Math', 'Memory', 'Party Game']","['Cooperative Game', 'Line Drawing', 'Memory', 'Role Playing', 'Roll / Spin and Move', 'Singing']","['Party & Co', 'Versions & Editions: Junior Versions of Grown-Up Games']"
23,['https://boardgamegeek.com/boardgame/8247/hoppla-lama/credits'],"['Animals', 'Bluffing']",['Betting and Bluffing'],['Animals: Llamas']
24,['https://boardgamegeek.com/boardgame/11563/forgotten-axis-finnish-campaign/credits'],"['Wargame', 'World War II']",['Hexagon Grid'],"['Country: Finland', 'Magazine: Strategy & Tactics', 'Series: Forgotten Axis (Decision Games)']"
25,['https://boardgamegeek.com/boardgame/21807/papa-bear/credits'],"['Card Game', ""Children's Game""]",[],['Animals: Bears']
26,['https://boardgamegeek.com/boardgame/95589/bad-grandmas/credits'],"['Card Game', 'Fighting', 'Humor', 'Print & Play']",['Simultaneous Action Selection'],[]
27,['https://boardgamegeek.com/boardgame/5465/space-fleet/credits'],"['Miniatures', 'Science Fiction']","['Action Queue', 'Simultaneous Action Selection']","['Warhammer 40,000 Board Games']"
28,['https://boardgamegeek.com/boardgame/32863/flapdoodle/credits'],"['Action / Dexterity', ""Children's Game"", 'Humor', 'Party Game', 'Trivia']","['Acting', 'Paper-and-Pencil', 'Singing', 'Storytelling']",['Versions & Editions: Junior Versions of Grown-Up Games']
29,['https://boardgamegeek.com/boardgame/22595/axis-evil-strategic-wargame/credits'],"['Card Game', 'Political']","['Campaign / Battle Card Driven', 'Player Elimination', 'Take That', 'Team-Based Game']",[]
30,['https://boardgamegeek.com/boardgame/148628/age-soccer/credits'],"['Card Game', 'Fantasy', 'Sports']","['Card Drafting', 'Hand Management', 'Take That']",['Sports: Football / Soccer']
31,['https://boardgamegeek.com/boardgame/7471/breaking-point/credits'],"['Action / Dexterity', ""Children's Game""]",[],['Components: Marbles']
32,['https://boardgamegeek.com/boardgame/171547/tornado-ellie/credits'],"['Action / Dexterity', 'Animals', ""Children's Game""]",[],"['Admin: Better Description Needed!', 'Animals: Cattle / Cows', 'Theme: Weather']"
33,['https://boardgamegeek.com/boardgame/2513/colony/credits'],"['Civilization', 'Economic', 'Exploration']",['Action Points'],[]
34,['https://boardgamegeek.com/boardgame/4073/malarky-card-game/credits'],"['Bluffing', 'Card Game', 'Trivia']",['Storytelling'],['Series: Big Deal (Patch)']
35,['https://boardgamegeek.com/boardgame/11573/celebrity-taboo/credits'],"['Movies / TV / Radio theme', 'Party Game', 'Word Game']",['Team-Based Game'],['Game: Taboo']
36,['https://boardgamegeek.com/boardgame/3189/bas-ket/credits'],"['Action / Dexterity', 'Sports']",[],['Sports: Basketball']
37,['https://boardgamegeek.com/boardgame/663/siege/credits'],"['Card Game', 'Medieval']",[],[]
38,['https://boardgamegeek.com/boardgame/11052/bridg-it/credits'],['Abstract Strategy'],['Tile Placement'],['Mechanic: Connection']
39,['https://boardgamegeek.com/boardgame/3298/schleck-und-weg/credits'],"['Action / Dexterity', ""Children's Game""]",['Roll / Spin and Move'],['Animals: Bears']
40,['https://boardgamegeek.com/boardgame/57239/locale/credits'],"['Bluffing', 'Party Game', 'Travel']","['Storytelling', 'Voting']",[]
41,['https://boardgamegeek.com/boardgame/163724/my-monopoly/credits'],"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",['Monopoly']
