age,max_play_time,max_players,min_play_time,min_players,url,weight
"minage"":""13","maxplaytime"":""30","maxplayers"":""6","minplaytime"":""30","minplayers"":""2",https://boardgamegeek.com/boardgame/247199/fanhunter-assault/credits,
"minage"":""12","maxplaytime"":""90","maxplayers"":""2","minplaytime"":""30","minplayers"":""1",https://boardgamegeek.com/boardgame/176478/no-mans-land-trench-warfare-1914-1918/credits,
"minage"":""10","maxplaytime"":""15","maxplayers"":""3","minplaytime"":""15","minplayers"":""2",https://boardgamegeek.com/boardgame/1401/crash/credits,"""averageweight"":1.3999999999999999"
"minage"":""13","maxplaytime"":""0","maxplayers"":""2","minplaytime"":""0","minplayers"":""2",https://boardgamegeek.com/boardgame/207905/magic-gathering-duel-decks-speed-vs-cunning/credits,
"minage"":""7","maxplaytime"":""30","maxplayers"":""8","minplaytime"":""30","minplayers"":""2",https://boardgamegeek.com/boardgame/17054/pegs-and-jokers/credits,"""averageweight"":1.5"
"minage"":""10","maxplaytime"":""30","maxplayers"":""6","minplaytime"":""20","minplayers"":""2",https://boardgamegeek.com/boardgame/213301/murder-blood-mansion/credits,
"minage"":""12","maxplaytime"":""120","maxplayers"":""2","minplaytime"":""120","minplayers"":""2",https://boardgamegeek.com/boardgame/6672/seven-seas-victory/credits,"""averageweight"":2.8333333333333335"
"minage"":""8","maxplaytime"":""30","maxplayers"":""5","minplaytime"":""20","minplayers"":""3",https://boardgamegeek.com/boardgame/255962/no-swap-no-pay/credits,
"minage"":""4","maxplaytime"":""10","maxplayers"":""4","minplaytime"":""10","minplayers"":""2",https://boardgamegeek.com/boardgame/112102/schuhbidu/credits,
"minage"":""0","maxplaytime"":""120","maxplayers"":""2","minplaytime"":""60","minplayers"":""2",https://boardgamegeek.com/boardgame/187032/lettow-vorbeck-east-africa-1914-1918/credits,"""averageweight"":1.3333333333333333"
"minage"":""12","maxplaytime"":""360","maxplayers"":""3","minplaytime"":""360","minplayers"":""1",https://boardgamegeek.com/boardgame/7754/smithereens-end-world-war-ii-europe/credits,"""averageweight"":2.7777777777777777"
"minage"":""12","maxplaytime"":""90","maxplayers"":""2","minplaytime"":""90","minplayers"":""1",https://boardgamegeek.com/boardgame/3036/kung-fu-2100/credits,"""averageweight"":1.6000000000000001"
"minage"":""0","maxplaytime"":""10","maxplayers"":""1","minplaytime"":""10","minplayers"":""1",https://boardgamegeek.com/boardgame/88147/adaman/credits,"""averageweight"":1.2666666666666666"
"minage"":""7","maxplaytime"":""30","maxplayers"":""4","minplaytime"":""30","minplayers"":""2",https://boardgamegeek.com/boardgame/17765/blam/credits,"""averageweight"":2.25"
"minage"":""6","maxplaytime"":""20","maxplayers"":""4","minplaytime"":""20","minplayers"":""2",https://boardgamegeek.com/boardgame/264797/kushi-express/credits,
"minage"":""0","maxplaytime"":""60","maxplayers"":""2","minplaytime"":""60","minplayers"":""2",https://boardgamegeek.com/boardgame/36604/basic-impetus/credits,"""averageweight"":2.2000000000000002"
"minage"":""9","maxplaytime"":""20","maxplayers"":""4","minplaytime"":""20","minplayers"":""2",https://boardgamegeek.com/boardgame/294233/fafnir/credits,
"minage"":""12","maxplaytime"":""60","maxplayers"":""4","minplaytime"":""30","minplayers"":""2",https://boardgamegeek.com/boardgame/223573/supervillain-galaxy-mine/credits,"""averageweight"":1.625"
"minage"":""4","maxplaytime"":""10","maxplayers"":""2","minplaytime"":""10","minplayers"":""2",https://boardgamegeek.com/boardgame/116402/sheep-dogs-and-wolves/credits,
"minage"":""0","maxplaytime"":""180","maxplayers"":""2","minplaytime"":""180","minplayers"":""2",https://boardgamegeek.com/boardgame/22227/no-prisoners-campaigns-lawrence-arabia-1915-1918/credits,"""averageweight"":2.8571428571428572"
"minage"":""12","maxplaytime"":""0","maxplayers"":""10","minplaytime"":""30","minplayers"":""3",https://boardgamegeek.com/boardgame/182198/superfight-anime-deck/credits,
"minage"":""12","maxplaytime"":""60","maxplayers"":""2","minplaytime"":""20","minplayers"":""1",https://boardgamegeek.com/boardgame/215155/space-infantry-resurgence/credits,"""averageweight"":2.5"
"minage"":""12","maxplaytime"":""60","maxplayers"":""6","minplaytime"":""15","minplayers"":""1",https://boardgamegeek.com/boardgame/179912/gladiator-quest-rudis/credits,"""averageweight"":3.2000000000000002"
"minage"":""0","maxplaytime"":""30","maxplayers"":""2","minplaytime"":""30","minplayers"":""2",https://boardgamegeek.com/boardgame/37633/lightning-poland/credits,"""averageweight"":1.75"
"minage"":""10","maxplaytime"":""60","maxplayers"":""2","minplaytime"":""60","minplayers"":""2",https://boardgamegeek.com/boardgame/71889/third-and-long-football-card-game/credits,"""averageweight"":2.3333333333333335"
"minage"":""10","maxplaytime"":""35","maxplayers"":""10","minplaytime"":""20","minplayers"":""3",https://boardgamegeek.com/boardgame/158267/double-feature/credits,
"minage"":""13","maxplaytime"":""20","maxplayers"":""1","minplaytime"":""10","minplayers"":""1",https://boardgamegeek.com/boardgame/247029/sojourn/credits,"""averageweight"":1.5"
"minage"":""0","maxplaytime"":""45","maxplayers"":""4","minplaytime"":""30","minplayers"":""2",https://boardgamegeek.com/boardgame/249166/zoned-out/credits,
"minage"":""8","maxplaytime"":""30","maxplayers"":""8","minplaytime"":""30","minplayers"":""1",https://boardgamegeek.com/boardgame/37718/games-war-treasury-rules-battles-toy-soldiers-ship/credits,"""averageweight"":1.7142857142857142"
"minage"":""0","maxplaytime"":""30","maxplayers"":""1","minplaytime"":""30","minplayers"":""1",https://boardgamegeek.com/boardgame/111802/8-bit-invaders/credits,"""averageweight"":1.3999999999999999"
"minage"":""4","maxplaytime"":""15","maxplayers"":""5","minplaytime"":""15","minplayers"":""2",https://boardgamegeek.com/boardgame/7708/hisss/credits,"""averageweight"":1.0210526315789474"
"minage"":""16","maxplaytime"":""35","maxplayers"":""10","minplaytime"":""35","minplayers"":""5",https://boardgamegeek.com/boardgame/181866/privacy-quickie/credits,
"minage"":""14","maxplaytime"":""60","maxplayers"":""8","minplaytime"":""15","minplayers"":""2",https://boardgamegeek.com/boardgame/229408/death-show-tv/credits,"""averageweight"":1.8"
"minage"":""8","maxplaytime"":""30","maxplayers"":""5","minplaytime"":""15","minplayers"":""1",https://boardgamegeek.com/boardgame/179930/avalanche-yeti-mountain/credits,"""averageweight"":1.25"
"minage"":""8","maxplaytime"":""45","maxplayers"":""4","minplaytime"":""15","minplayers"":""2",https://boardgamegeek.com/boardgame/182101/dark-matter/credits,"""averageweight"":2.75"
"minage"":""12","maxplaytime"":""45","maxplayers"":""4","minplaytime"":""30","minplayers"":""2",https://boardgamegeek.com/boardgame/223763/ataris-centipede/credits,
"minage"":""0","maxplaytime"":""60","maxplayers"":""1","minplaytime"":""60","minplayers"":""1",https://boardgamegeek.com/boardgame/51199/epic-solitaire-notebook-adventures/credits,"""averageweight"":2.6000000000000001"
"minage"":""12","maxplaytime"":""180","maxplayers"":""6","minplaytime"":""180","minplayers"":""2",https://boardgamegeek.com/boardgame/1210/cults-across-america/credits,"""averageweight"":2.3999999999999999"
"minage"":""10","maxplaytime"":""30","maxplayers"":""1","minplaytime"":""30","minplayers"":""1",https://boardgamegeek.com/boardgame/92186/aether-captains-pirates-and-traders/credits,"""averageweight"":1.6666666666666667"
"minage"":""6","maxplaytime"":""25","maxplayers"":""4","minplaytime"":""5","minplayers"":""2",https://boardgamegeek.com/boardgame/213834/four-elements/credits,
"minage"":""10","maxplaytime"":""60","maxplayers"":""4","minplaytime"":""60","minplayers"":""3",https://boardgamegeek.com/boardgame/2567/who-stole-eds-pants/credits,"""averageweight"":1.5333333333333334"
"minage"":""13","maxplaytime"":""45","maxplayers"":""4","minplaytime"":""15","minplayers"":""2",https://boardgamegeek.com/boardgame/208073/xybrid/credits,
"minage"":""6","maxplaytime"":""30","maxplayers"":""2","minplaytime"":""15","minplayers"":""2",https://boardgamegeek.com/boardgame/231457/bitskrieg/credits,"""averageweight"":1.3999999999999999"
"minage"":""8","maxplaytime"":""30","maxplayers"":""8","minplaytime"":""30","minplayers"":""2",https://boardgamegeek.com/boardgame/238510/farkle/credits,
"minage"":""10","maxplaytime"":""20","maxplayers"":""5","minplaytime"":""20","minplayers"":""2",https://boardgamegeek.com/boardgame/30111/ludus-gladiatorius-2/credits,"""averageweight"":1.75"
