,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_class_weight,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_n_estimators,params_num_leaves,params_sampling_strategy,state
0,0,0.11336065941715714,2020-09-03 15:31:27.878450,2020-09-03 15:31:36.298164,0 days 00:00:08.419714,goss,balanced,28.311344812314562,72,45,130,50,0.75,COMPLETE
1,1,0.04835645644250668,2020-09-03 15:31:36.302132,2020-09-03 15:31:39.612096,0 days 00:00:03.309964,dart,balanced,41.251816476388726,44,65,120,40,0.9,COMPLETE
2,2,0.1171248054151828,2020-09-03 15:31:39.620849,2020-09-03 15:31:42.173804,0 days 00:00:02.552955,gbdt,balanced,41.97021067697442,40,80,200,90,0.15000000000000002,COMPLETE
3,3,0.07263689650318944,2020-09-03 15:31:42.177777,2020-09-03 15:31:45.687256,0 days 00:00:03.509479,gbdt,balanced,62.65568549222859,0,60,400,15,0.1,COMPLETE
4,4,0.07298987915653797,2020-09-03 15:31:45.690598,2020-09-03 15:31:57.114061,0 days 00:00:11.423463,goss,,87.48398041661302,73,65,330,20,0.9,COMPLETE
5,5,0.1431596654758261,2020-09-03 15:31:57.119799,2020-09-03 15:32:00.012875,0 days 00:00:02.893076,goss,,12.010746748993856,30,75,70,40,0.2,COMPLETE
6,6,0.1207018077731075,2020-09-03 15:32:00.018971,2020-09-03 15:32:02.717426,0 days 00:00:02.698455,gbdt,,46.49212291654223,30,75,70,80,0.6,COMPLETE
7,7,0.11406473269351045,2020-09-03 15:32:02.723105,2020-09-03 15:32:09.336418,0 days 00:00:06.613313,goss,balanced,17.90690193035732,73,40,200,65,0.55,COMPLETE
8,8,0.1007120597392098,2020-09-03 15:32:09.340505,2020-09-03 15:32:12.936034,0 days 00:00:03.595529,gbdt,balanced,87.85461714882669,7,5,120,65,0.75,COMPLETE
9,9,0.07528238063905943,2020-09-03 15:32:12.939819,2020-09-03 15:32:23.151049,0 days 00:00:10.211230,goss,balanced,77.88726969964566,40,40,330,35,0.45000000000000007,COMPLETE
10,10,0.05834434473450008,2020-09-03 15:32:23.154716,2020-09-03 15:32:25.604690,0 days 00:00:02.449974,dart,,4.980925475415977,96,100,30,30,0.30000000000000004,COMPLETE
11,11,0.15640027884915228,2020-09-03 15:32:25.618811,2020-09-03 15:32:28.084895,0 days 00:00:02.466084,gbdt,,7.822737701046342,23,90,20,95,0.5,COMPLETE
12,12,0.1454652879384704,2020-09-03 15:32:28.093155,2020-09-03 15:32:30.434349,0 days 00:00:02.341194,goss,,2.6169806436384597,20,100,10,100,0.35,COMPLETE
13,13,0.389031895004538,2020-09-03 15:32:30.438076,2020-09-03 15:32:32.766614,0 days 00:00:02.328538,gbdt,,0.343046563795844,14,100,10,100,0.35,COMPLETE
14,14,0.061893569052980865,2020-09-03 15:32:32.774580,2020-09-03 15:32:37.348509,0 days 00:00:04.573929,gbdt,,23.822476623157673,8,90,480,95,0.4,COMPLETE
15,15,0.1763698483249678,2020-09-03 15:32:37.352477,2020-09-03 15:32:39.894017,0 days 00:00:02.541540,gbdt,,5.8327944728211145,17,100,10,80,0.65,COMPLETE
16,16,0.36809075625989846,2020-09-03 15:32:39.900184,2020-09-03 15:32:49.502970,0 days 00:00:09.602786,gbdt,,0.31544663898223835,60,20,190,80,0.7000000000000001,COMPLETE
17,17,0.03116695586474206,2020-09-03 15:32:49.507989,2020-09-03 15:32:54.254462,0 days 00:00:04.746473,gbdt,,30.72654115570046,59,15,260,80,1.0,COMPLETE
18,18,0.05230888499232519,2020-09-03 15:32:54.257944,2020-09-03 15:32:57.395237,0 days 00:00:03.137293,dart,,60.53703783201738,57,25,200,65,0.25,COMPLETE
19,19,0.37371525991596055,2020-09-03 15:32:57.401811,2020-09-03 15:33:08.277827,0 days 00:00:10.876016,gbdt,,0.6172440694444807,92,25,270,85,0.65,COMPLETE
20,20,0.1090329812855226,2020-09-03 15:33:08.287169,2020-09-03 15:33:13.078803,0 days 00:00:04.791634,gbdt,,21.74764269510188,99,30,290,90,0.85,COMPLETE
21,21,0.24439810501787398,2020-09-03 15:33:13.083140,2020-09-03 15:33:20.925729,0 days 00:00:07.842589,gbdt,,0.9765606058191021,84,5,410,75,0.7000000000000001,COMPLETE
22,22,0.3599655766262476,2020-09-03 15:33:20.934354,2020-09-03 15:33:33.990849,0 days 00:00:13.056495,gbdt,,0.2678270074319552,88,20,230,100,0.55,COMPLETE
23,23,0.08964814008117716,2020-09-03 15:33:33.995220,2020-09-03 15:33:37.483803,0 days 00:00:03.488583,gbdt,,15.933801803661382,62,15,160,85,0.8,COMPLETE
24,24,0.0725211457996147,2020-09-03 15:33:37.488953,2020-09-03 15:33:41.907581,0 days 00:00:04.418628,gbdt,,32.910433724656876,50,10,310,70,0.65,COMPLETE
25,25,0.12122666062871121,2020-09-03 15:33:41.919732,2020-09-03 15:33:45.926942,0 days 00:00:04.007210,gbdt,,13.131264983907837,86,35,370,55,0.4,COMPLETE
26,26,0.15660909376331295,2020-09-03 15:33:45.931020,2020-09-03 15:33:50.015595,0 days 00:00:04.084575,gbdt,,1.8379359383741838,65,50,270,100,0.5,COMPLETE
27,27,0.06794709075197458,2020-09-03 15:33:50.020224,2020-09-03 15:33:56.972312,0 days 00:00:06.952088,dart,,9.6649482944758,49,25,490,90,0.65,COMPLETE
28,28,0.34780795626356864,2020-09-03 15:33:56.981805,2020-09-03 15:34:07.353810,0 days 00:00:10.372005,gbdt,,0.35502046706010437,80,25,240,55,0.6,COMPLETE
29,29,0.07518790662853563,2020-09-03 15:34:07.357502,2020-09-03 15:34:10.889172,0 days 00:00:03.531670,gbdt,,24.284401074938778,94,45,150,75,0.75,COMPLETE
30,30,0.09062481563661226,2020-09-03 15:34:10.893707,2020-09-03 15:34:14.089453,0 days 00:00:03.195746,gbdt,,35.23403685885576,69,55,80,85,1.0,COMPLETE
31,31,0.10248590620953113,2020-09-03 15:34:14.096565,2020-09-03 15:34:17.923834,0 days 00:00:03.827269,gbdt,,10.33961168990037,89,15,220,100,0.55,COMPLETE
32,32,0.3810513781345442,2020-09-03 15:34:17.928768,2020-09-03 15:34:28.444797,0 days 00:00:10.516029,gbdt,,0.577947697121675,89,20,240,95,0.7000000000000001,COMPLETE
33,33,0.35465139167329746,2020-09-03 15:34:28.451813,2020-09-03 15:34:38.275110,0 days 00:00:09.823297,gbdt,,0.42195293659898975,75,30,160,95,0.8,COMPLETE
34,34,0.1259823282990404,2020-09-03 15:34:38.278318,2020-09-03 15:34:42.937795,0 days 00:00:04.659477,gbdt,,18.181194620943565,100,10,290,85,0.7000000000000001,COMPLETE
35,35,0.025787341320114614,2020-09-03 15:34:42.943532,2020-09-03 15:34:48.472976,0 days 00:00:05.529444,gbdt,,55.36989016381729,82,20,370,90,0.9,COMPLETE
36,36,0.03411145484548675,2020-09-03 15:34:48.476473,2020-09-03 15:34:51.895067,0 days 00:00:03.418594,dart,balanced,70.23467242597012,78,35,190,75,0.7000000000000001,COMPLETE
37,37,0.06525735139216729,2020-09-03 15:34:51.900953,2020-09-03 15:34:54.511827,0 days 00:00:02.610874,gbdt,,8.983001279756294,34,5,100,95,0.6,COMPLETE
